Name/ID	Vertical	Industry	EmployeeQuantityGrowthRate	SalesTurnoverGrowthRate	PriorYearEmployees	 PriorYearRevenue 	 SalesVolume 	SmallBusiness
10168	VOIP/VSP	Telecommunications	0	0	3	 $ 197,123.89 	 $ 197,123.89 	Y
10301	Media	Media & Content	0	0	70	 $ -   	 $ 1,092,843.01 	Y
10329	Real Estate / Construction	Other Enterprise	0.157143	0.322514	70	 $ 15,635,647.41 	 $ 20,678,366.92 	N
10492	Cloud Service Provider	Data Center & Cloud Services	0	0.073722	55	 $ 6,439,380.37 	 $ 6,914,105.95 	Y
10565	Higher Education	Research & Education	0	-0.073995	455	 $ -   	 $ 124,190,797.98 	N
10599	Manufacturing	Energy & Manufacturing	0	0.397113	57	 $ 10,907,521.86 	 $ 15,239,044.66 	Y
11179	Retail	Other Enterprise	0	0	0	 $ -   	 $ 273,104.63 	Y
11243	Consulting / Other Professional Services	Professional Services	0	0	9	 $ 801,637.15 	 $ 801,637.15 	Y
11410	Finance	Finance	0	0	2	 $ 102,504.42 	 $ 102,504.42 	Y
11573	Non-Healthcare Insurance	Other Enterprise	0	0	44	 $ 9,199,114.82 	 $ 9,199,114.82 	Y
11850	Oil & Gas	Energy & Manufacturing	0	0	50	 $ -   	 $ 38,979,817.93 	N
11919	Legal	Professional Services	0	0.401205	12	 $ 1,708,407.04 	 $ 2,393,827.83 	N
12029	Consulting / Other Professional Services	Professional Services	0	0	0	 $ -   	 $ 265,942.47 	N
12268	Internet Content & Software	Media & Content	0	0	14	 $ 2,234,070.74 	 $ 2,234,070.74 	Y
12283	Consulting / Other Professional Services	Professional Services	#N/A	#N/A	#N/A	 #N/A 	 #N/A 	#N/A
12348	Consulting / Other Professional Services	Professional Services	0	0.694458	52	 $ 7,227,875.93 	 $ 12,247,329.56 	Y
12427	Manufacturing	Energy & Manufacturing	0	0	0	 $ -   	 $ -   	N
12451	Internet Content & Software	Media & Content	0	0	4	 $ 381,106.19 	 $ 381,106.19 	Y
12620	Systems Integrators	Government	5.25	7.52236	8	 $ 1,169,601.74 	 $ 9,967,766.57 	N
12813	Consulting / Other Professional Services	Professional Services	0	0.015873	4	 $ 827,920.33 	 $ 841,061.93 	Y
12870	Internet Content & Software	Media & Content	0	0	0	 $ -   	 $ -   	0
13149	Manufacturing	Energy & Manufacturing	0	0.030303	4	 $ 433,672.56 	 $ 446,814.15 	Y
13226	Consulting / Other Professional Services	Professional Services	0	0	17	 $ 1,708,407.04 	 $ 1,708,407.04 	Y
13512	Internet Content & Software	Media & Content	0	-0.083333	1	 $ 157,699.11 	 $ 144,557.52 	Y
13527	Higher Education	Research & Education	#N/A	#N/A	#N/A	 #N/A 	 #N/A 	#N/A
13587	Utilities	Energy & Manufacturing	0	0	3	 $ 210,265.48 	 $ 210,265.48 	N
13665	Finance	Finance	0	0	55	 $ 3,942,477.78 	 $ 3,942,477.78 	Y
13895	Real Estate / Construction	Other Enterprise	0	0	0	 $ -   	 $ -   	N
13961	Regional Carrier/ISP	Telecommunications	0	0.016667	6	 $ 788,495.56 	 $ 801,637.15 	Y
13971	RLEC	Telecommunications	0	0	7	 $ 274,389.88 	 $ 274,389.88 	N
14113	Internet Content & Software	Media & Content	0	0	0	 $ -   	 $ 4,634,807.10 	N
14172	Regional Carrier/ISP	Telecommunications	0	0	2	 $ 249,690.26 	 $ 249,690.26 	Y
14181	Non-Healthcare Insurance	Other Enterprise	0	0.630487	3	 $ 407,389.37 	 $ 664,243.11 	N
14259	Federal Government	Government	0	0.164976	469	 $ 106,858,733.92 	 $ 124,487,807.17 	N
14288	Oil & Gas	Energy & Manufacturing	0	1.676839	700	 $ 112,360,616.73 	 $ 300,771,288.15 	N
14410	Colo/Hosting	Data Center & Cloud Services	0	-0.101873	20	 $ 3,416,814.08 	 $ 3,068,731.40 	N
14458	Healthcare	Healthcare	0	0.499768	65	 $ 7,490,707.78 	 $ 11,234,326.98 	Y
14693	Higher Education	Research & Education	0	-0.01525	2000	 $ -   	 $ 412,417,343.93 	N
14709	National Carrier/ISP	Telecommunications	#N/A	#N/A	#N/A	 #N/A 	 #N/A 	#N/A
14895	Commercial Systems Integrator	Professional Services	0	-0.2	12	 $ 1,971,238.89 	 $ 1,576,991.11 	Y
15054	Media	Media & Content	0	0	6	 $ 1,576,991.11 	 $ 1,576,991.11 	Y
15089	Consulting / Other Professional Services	Professional Services	0	0.860887	180	 $ 52,566,370.40 	 $ 97,820,096.34 	Y
15191	Colo/Hosting	Data Center & Cloud Services	0	0	0	 $ -   	 $ -   	N
15307	Hospitality	Other Enterprise	0	2.501643	2100	 $ 168,475,217.13 	 $ 589,940,142.80 	N
15519	Utilities	Energy & Manufacturing	0	1.348301	775	 $ 106,184,068.21 	 $ 249,352,135.42 	N
15581	Consulting / Other Professional Services	Professional Services	0	0.541957	25	 $ 4,599,557.41 	 $ 7,092,319.09 	Y
15627	Internet Content & Software	Media & Content	0	0.023529	1	 $ 111,703.54 	 $ 114,331.86 	Y
15629	Cloud Service Provider	Data Center & Cloud Services	0	3.075201	28	 $ 6,570,796.30 	 $ 26,777,318.28 	Y
15718	Engineering	Professional Services	0	0	803	 $ 433,245,117.62 	 $ 433,245,117.62 	N
16084	K-12 Education	Research & Education	0	0	0	 $ -   	 $ -   	N
16447	State/Local Government	Government	0	0	0	 $ -   	 $ -   	N
