Key,,,,,,,,,,,,,
Billing Run Rate,,BRR (spend rate),,,,,,,,,,,
Product Rankings/BRR,,Service rank amoung all customer in Zayo (Lower # better ranking),,,,,,,,,,,
,,,,,,,,,,,,,
ID/Name,Industry,Vertical,Total (BRR),Product A Rank,Product A Total BRR,Product B Rank,Product B Total BRR,Product C Rank,Product C Total BRR,Product D Rank,Product D Total BRR,Product E Rank,Product F - Metro Rank
870970,Media & Content,Media," $	35,242.00 ",, $	-00 ,80, $	-00 ,," $	8,419.00 ",57, $	-00 ,86,
824568,Media & Content,Media," $	50,675.00 ",, $	-00 ,37, $	-00 ,," $	10,045.00 ",," $	9,700.00 ",,
313510,Media & Content,Internet Content & Software," $	14,777.00 ",, $	-00 ,84, $	-00 ,, $	-00 ,," $	14,777.00 ",,
890026,Healthcare,Health Insurance," $	34,027.00 ",, $	-00 ,1047, $	-00 ,," $	4,320.00 ",," $	29,707.00 ",,
912303,Energy & Manufacturing,Manufacturing," $	135,454.00 ",, $	-00 ,108," $	128,317.00 ",, $	-00 ,, $	-00 ,,
587743,Finance,Finance," $	6,219.00 ",, $	-00 ,905, $	-00 ,, $	-00 ,, $	-00 ,,
212246,Finance,Finance," $	103,710.00 ",, $	-00 ,770, $	-00 ,," $	11,513.00 ",," $	5,634.00 ",,
580425,Finance,Finance," $	125,364.00 ",, $	-00 ,766, $	-00 ,," $	16,764.00 ",89," $	24,974.00 ",,
163318,Other Enterprise,Retail," $	7,249.00 ",, $	-00 ,1147, $	-00 ,, $	-00 ,," $	7,249.00 ",,
400119,CATV/Satellite,Cable & Satellite," $	44,858.00 ",, $	-00 ,579, $	-00 ,, $	-00 ,, $	-00 ,,
367495,Healthcare,Healthcare," $	146,878.00 ",, $	-00 ,462," $	146,878.00 ",, $	-00 ,, $	-00 ,,
397569,Media & Content,Internet Content & Software, $	-00 ,, $	-00 ,318, $	-00 ,, $	-00 ,, $	-00 ,,
996458,Finance,Finance," $	5,236.00 ",, $	-00 ,907, $	-00 ,, $	-00 ,," $	3,222.00 ",,
174769,Data Center & Cloud Services,Colo/Hosting," $	24,935.00 ",, $	-00 ,588, $	-00 ,," $	7,137.00 ",," $	14,273.00 ",,130
404549,Media & Content,Internet Content & Software," $	36,850.00 ",, $	-00 ,16, $	-00 ,49," $	24,991.00 ",," $	2,621.00 ",,
