Key,,,,,,,,
Stata A and Z,,State A is where service start and State Z is where it ends,,,,,,
MRR,,Monthly Recurring Revenue,,,,,,
Term,,How long the service term is,,,,,,
Service Count,,How many service for that customer,,,,,,
,,,,,,,,
ID/Name,Service Count,Service ID,Product,Total MRR,Term,Bandwidth,State A,State Z
957010,88,211581,Product E," $	19,286.05 ",36,10G,MN,WA
957010,88,211941,Product E," $	12,084.00 ",36,10G,WA,MN
957010,88,211942,Product E," $	4,783.25 ",36,10G,MN,IL
957010,88,211579,Product E," $	4,783.25 ",36,10G,IL,MN
957010,88,211580,Product E," $	19,286.05 ",36,10G,WA,MN
957010,88,211583,Product E," $	7,200.05 ",36,10G,WA,WA
957010,88,211582,Product E," $	4,783.25 ",36,10G,IL,MN
957010,88,212128,Product F," $	1,029.90 ",60,N/A,IL,
957010,88,212333,Product F, $	710.66 ,60,N/A,IL,
957010,88,212008,Product F," $	15,696.35 ",60,N/A,IL,
957010,88,212331,Product F, $	810.18 ,60,N/A,IL,
957010,88,212332,Product F, $	810.18 ,60,N/A,IL,
957010,88,212329,Product F, $	710.66 ,60,N/A,IL,
957010,88,212083,Product F, $	372.87 ,240,N/A,CA,CA
957010,88,212102,Product F, $	211.60 ,60,N/A,IL,
957010,88,212163,Product F," $	1,089.67 ",240,N/A,CA,
957010,88,212402,Product F, $	-00 ,120,N/A,WA,
957010,88,212404,Product F," $	1,663.97 ",240,N/A,WA,WA
957010,88,212434,Product F, $	563.66 ,240,N/A,WA,WA
957010,88,212330,Product F, $	710.66 ,60,N/A,IL,
957010,88,212327,Product F, $	710.66 ,60,N/A,IL,
957010,88,211219,Product A, $	431.00 ,12,DS1,WA,OR
957010,88,211214,Product A," $	2,076.26 ",12,DS3,WA,WA
957010,88,211211,Product A," $	2,477.52 ",12,DS3,OR,OR
957010,88,211202,Product A," $	1,523.66 ",36,DS3,WA,WA
957010,88,215563,Product E," $	13,139.32 ",36,10G,WV,WV
957010,88,13264,Other, $	-00 ,36,DS1,,
957010,88,13265,Other, $	-00 ,36,DS1,,
957010,88,13267,Other, $	-00 ,36,DS1,,
957010,88,13269,Other, $	-00 ,36,DS1,,
957010,88,13270,Other, $	-00 ,36,DS1,,
957010,88,13273,Other, $	-00 ,36,DS1,,
957010,88,13276,Other, $	-00 ,36,DS1,,
957010,88,13279,Other, $	-00 ,36,DS1,,
957010,88,13280,Other, $	-00 ,36,DS1,,
957010,88,13281,Other, $	-00 ,36,DS1,,
957010,88,13282,Other, $	-00 ,36,DS1,,
957010,88,13284,Other, $	-00 ,36,DS1,,
957010,88,13283,Other, $	330.30 ,60,N/A,,
957010,88,12744,Other, $	330.30 ,60,N/A,,
957010,88,12745,Other, $	-00 ,36,DS1,,
957010,88,12746,Other, $	-00 ,36,DS1,,
957010,88,12748,Other, $	-00 ,36,DS1,,
957010,88,12749,Other, $	-00 ,36,DS1,,
957010,88,12742,Other, $	-00 ,36,DS1,,
957010,88,12743,Other, $	-00 ,36,DS1,,
957010,88,205275,Product E," $	34,927.80 ",1,10G,VA,OH
957010,88,206518,Product E," $	20,252.77 ",60,10G,MN,MN
957010,88,207789,Product E," $	37,843.06 ",36,10G,WV,IL
957010,88,205721,Product E," $	47,403.69 ",48,10G,VA,MI
957010,88,194982,Product E," $	10,376.63 ",1,10G,IL,OH
957010,88,248103,Product F," $	3,515.79 ",12,N/A,MN,
957010,88,256631,Product E," $	5,347.17 ",36,10G,IL,WV
957010,88,258132,Product E," $	5,727.57 ",36,10G,OH,VA
957010,88,258136,Product E," $	5,644.24 ",36,10G,VA,OH
957010,88,258137,Product E," $	5,644.24 ",36,10G,VA,OH
957010,88,258138,Product E," $	5,644.24 ",36,10G,VA,OH
957010,88,258387,Product E," $	5,644.24 ",36,10G,VA,OH
957010,88,237485,Product E," $	22,041.22 ",29,10G,MI,VA
957010,88,235740,Product F," $	2,754.64 ",240,N/A,OR,
957010,88,235741,Product F," $	1,580.15 ",240,N/A,OR,
957010,88,241619,Product E," $	9,331.87 ",60,10G,WV,WV
957010,88,241617,Product E," $	12,053.79 ",36,10G,WV,IL
957010,88,241618,Product E," $	7,232.27 ",36,10G,WV,VA
957010,88,247069,Product E," $	4,783.25 ",36,10G,MN,IL
957010,88,244283,Product D," $	2,286.59 ",36,50Mb,WA,
957010,88,269080,Product E," $	5,644.24 ",36,10G,OH,IL
957010,88,267206,Product D," $	1,173.36 ",36,30Mb,,
957010,88,267679,Product E," $	5,644.24 ",36,10G,OH,IL
957010,88,267732,Product E," $	5,644.24 ",36,10G,OH,IL
957010,88,267733,Product E," $	5,644.24 ",36,10G,OH,IL
