Name/ID	Service Name	Number of Services	Bandwidth	Product	State A	State Z	Service Status	Term	 Total MRR 
10015	275926	1	100Mb	DIA	MD		Pending Change	12	 $ 1,102.83 
10034	286958	3	FE (Cat5)	Interconnect	CA	CA	Active	24	 $ 50.00 
10034	283899	3	N/A	Colocation	CA		Active	24	 $ 1,450.00 
10034	284564	3	20Mb	DIA			Active	24	 $ 616.00 
10255	214253	4	N/A	Colocation	NV		Active	12	 $ 1,178.91 
10255	214255	4	1Mb	DIA	NV		Active	12	 $ 35.57 
10255	214256	4	FE (Cat5)	Interconnect	NV	NV	Active	12	 $ 50.82 
10255	214254	4		Colocation	NV		Active	12	 $ -   
10263	237031	1	3Mb	DIA	MD		Active	36	 $ 300.75 
10316	256009	3		Colocation	TX	TX	Active	12	 $ 499.00 
10316	255661	3	100Mb	DIA	TX	TX	Active	12	 $ 6.00 
10316	263035	3	100Mb	DIA	TX		Active	12	 $ 100.00 
10376	272104	2	N/A	Colocation	TX		Pending Change	12	 $ 47.89 
10376	272439	2	10Mb	DIA	TX		Pending Change	12	 $ 10.16 
10406	254253	1	100Mb	DIA			Active	60	 $ 645.03 
10600	262023	1	100Mb	DIA	CA		Active	24	 $ 1,274.38 
10637	233677	7	DS1	Private Line	GA	GA	Active	36	 $ 183.51 
10637	233678	7	DS1	Private Line	GA	GA	Active	36	 $ 183.51 
10637	233679	7	DS1	Private Line	GA	GA	Active	36	 $ 183.51 
10637	233680	7	DS1	Private Line	GA	GA	Active	36	 $ 183.51 
10637	233681	7	DS1	Private Line	GA	GA	Active	36	 $ 183.51 
10637	233682	7	DS1	Private Line	GA	GA	Active	36	 $ 183.51 
10637	233683	7	DS1	Private Line	GA	GA	Active	36	 $ 183.51 
10643	284407	3	5Mb	DIA	CA		Active	12	 $ 200.00 
10643	286773	3	FE (Cat5)	Interconnect	CA	CA	Pending Change	12	 $ 50.00 
10643	283920	3	N/A	Colocation	CA		Active	12	 $ 100.00 
10644	248939	1	N/A	Dark Fiber	MN		Active	12	 $ 436.62 
10698	249077	1	N/A	Dark Fiber	MN		Pending Change	12	 $ 1,413.89 
10719	013617	8	N/A	Dark Fiber	IN		Active	120	 $ 256.40 
10719	013613	8	1000Mb	Dedicated Ethernet	IN	IN	Disconnected	60	 $ -   
10719	013615	8	1000Mb	Dedicated Ethernet	IN	IN	Disconnected	60	 $ -   
10719	013614	8	1000Mb	Dedicated Ethernet	IN	IN	Disconnected	60	 $ -   
10719	013616	8	1000Mb	Dedicated Ethernet	IN	IN	Disconnected	60	 $ -   
10719	013618	8	N/A	Dark Fiber	IN		Active	120	 $ 1,055.59 
