Name/ID	Vertical	Industry	Total BRR Currency	 Total BRR 
10015	Internet Content & Software	Media & Content	USD	 $ 1,020.00 
10034	Consulting / Other Professional Services	Professional Services	USD	 $ 2,116.00 
10168	VOIP/VSP	Telecommunications	USD	 $ -   
10255	Internet Content & Software	Media & Content	USD	 $ 1,266.00 
10263	Internet Content & Software	Media & Content	USD	 $ 301.00 
10301	Media	Media & Content	USD	 $ -   
10316	Consulting / Other Professional Services	Professional Services	USD	 $ 605.00 
10329	Real Estate / Construction	Other Enterprise	USD	 $ -   
10376	Media	Media & Content	USD	 $ 50.00 
10406	Asset Management / Hedge Fund	Finance	USD	 $ 612.00 
10492	Cloud Service Provider	Data Center & Cloud Services	USD	 $ -   
10565	Higher Education	Research & Education	USD	 $ -   
10599	Manufacturing	Energy & Manufacturing	USD	 $ -   
10600	Consulting / Other Professional Services	Professional Services	USD	 $ 1,274.00 
10637	Consulting / Other Professional Services	Professional Services	USD	 $ 1,288.00 
10643	Consulting / Other Professional Services	Professional Services	USD	 $ 350.00 
10644	K-12 Education	Research & Education	USD	 $ 73.00 
10698	Real Estate / Construction	Other Enterprise	USD	 $ 1,275.00 
10719	Higher Education	Research & Education	USD	 $ 1,312.00 
10746	Retail	Other Enterprise	USD	 $ 98.00 
10810	Colo/Hosting	Data Center & Cloud Services	USD	 $ 51.00 
10933	Consulting / Other Professional Services	Professional Services	USD	 $ 809.00 
11026	Utilities	Energy & Manufacturing	USD	 $ 198.00 
11074	Internet Content & Software	Media & Content	USD	 $ 299.00 
11130	Internet Content & Software	Media & Content	USD	 $ 1,108.00 
11179	Retail	Other Enterprise	USD	 $ -   
11243	Consulting / Other Professional Services	Professional Services	USD	 $ -   
11252	Commercial Systems Integrator	Professional Services	USD	 $ 406.00 
11253	Commercial Systems Integrator	Professional Services	USD	 $ 410.00 
11388	Internet Content & Software	Media & Content	USD	 $ 892.00 
11410	Finance	Finance	USD	 $ -   
11479	Regional Carrier/ISP	Telecommunications	USD	 $ 1,290.00 
11506	Consulting / Other Professional Services	Professional Services	USD	 $ 1,034.00 
11541	Internet Content & Software	Media & Content	USD	 $ 135.00 
11573	Non-Healthcare Insurance	Other Enterprise	USD	 $ -   
11619	Real Estate / Construction	Other Enterprise	USD	 $ 795.00 
11634	Colo/Hosting	Data Center & Cloud Services	USD	 $ 775.00 
11784	Regional Carrier/ISP	Telecommunications	USD	 $ 1,020.00 
11850	Oil & Gas	Energy & Manufacturing	USD	 $ -   
11919	Legal	Professional Services	USD	 $ -   
11932	Pharmaceuticals	Healthcare	USD	 $ 1,263.00 
11988	Healthcare	Healthcare	USD	 $ 379.00 
12029	Consulting / Other Professional Services	Professional Services	USD	 $ -   
12033	Commercial Systems Integrator	Professional Services	USD	 $ 461.00 
12051	Consulting / Other Professional Services	Professional Services	USD	 $ 1,296.00 
12134	Consulting / Other Professional Services	Professional Services	USD	 $ 1,190.00 
12168	Finance	Finance	USD	 $ 1,215.00 
12268	Internet Content & Software	Media & Content	USD	 $ -   
12283	Consulting / Other Professional Services	Professional Services	USD	 $ -   
12311	Finance	Finance	USD	 $ 98.00 
12339	Finance	Finance	USD	 $ 1,020.00 
12348	Consulting / Other Professional Services	Professional Services	USD	 $ -   
12357	K-12 Education	Research & Education	USD	 $ 275.00 
12416	Consulting / Other Professional Services	Professional Services	USD	 $ 153.00 
12427	Manufacturing	Energy & Manufacturing	USD	 $ -   
12451	Internet Content & Software	Media & Content	USD	 $ -   
12620	Systems Integrators	Government	USD	 $ -   
12755	Consulting / Other Professional Services	Professional Services	USD	 $ 296.00 
12764	Internet Content & Software	Media & Content	USD	 $ 1,208.00 
12813	Consulting / Other Professional Services	Professional Services	USD	 $ -   
12868	Consulting / Other Professional Services	Professional Services	USD	 $ 52.00 
12870	Internet Content & Software	Media & Content	USD	 $ -   
12892	Consulting / Other Professional Services	Professional Services	USD	 $ 399.00 
12918	Finance	Finance	USD	 $ 230.00 
13090	Real Estate / Construction	Other Enterprise	USD	 $ 530.00 
13149	Manufacturing	Energy & Manufacturing	USD	 $ -   
13201	Engineering	Professional Services	USD	 $ 1,423.00 
